800	800	36	-8
800	1800	40	-5
800	2800	41	-3
800	3800	40	-1
800	4800	36	2
1800	800	66	-7
1800	1800	70	-5
1800	2800	71	-3
1800	3800	69	-2
1800	4800	66	1
2800	800	90	-6
2800	1800	93	-4
2800	2800	94	-3
2800	3800	93	-2
2800	4800	90	-1
3800	800	109	-5
3800	1800	112	-4
3800	2800	113	-3
3800	3800	112	-3
3800	4800	109	-1
4800	800	125	-5
4800	1800	127	-4
4800	2800	128	-3
4800	3800	127	-3
4800	4800	124	-1
5800	800	137	-6
5800	1800	139	-4
5800	2800	140	-3
5800	3800	139	-3
5800	4800	137	-1
6800	800	147	-7
6800	1800	149	-5
6800	2800	150	-4
6800	3800	149	-2
6800	4800	147	0
7800	800	156	-9
7800	1800	158	-6
7800	2800	158	-4
7800	3800	158	-1
7800	4800	157	2
6800	800	149	-8
6800	1800	150	-5
6800	2800	151	-3
6800	3800	150	-1
6800	4800	148	2
7800	800	158	-6
7800	1800	159	-4
7800	2800	159	-3
7800	3800	158	-2
7800	4800	157	0
8800	800	163	-5
8800	1800	164	-4
8800	2800	164	-3
8800	3800	164	-2
8800	4800	162	-1
9800	800	166	-4
9800	1800	167	-3
9800	2800	167	-3
9800	3800	166	-3
9800	4800	165	-1
10800	800	167	-4
10800	1800	168	-3
10800	2800	168	-3
10800	3800	167	-3
10800	4800	167	-1
11800	800	168	-4
11800	1800	168	-3
11800	2800	168	-3
11800	3800	168	-2
11800	4800	168	-1
12800	800	170	-5
12800	1800	169	-3
12800	2800	169	-2
12800	3800	169	-1
12800	4800	169	0
13800	800	173	-6
13800	1800	172	-4
13800	2800	172	-2
13800	3800	172	-1
13800	4800	172	2
12800	800	170	-7
12800	1800	170	-4
12800	2800	169	-2
12800	3800	169	0
12800	4800	169	3
13800	800	173	-5
13800	1800	173	-3
13800	2800	172	-2
13800	3800	173	-1
13800	4800	173	1
14800	800	176	-4
14800	1800	175	-3
14800	2800	175	-2
14800	3800	175	-2
14800	4800	176	0
15800	800	178	-3
15800	1800	177	-2
15800	2800	177	-2
15800	3800	177	-2
15800	4800	178	-1
16800	800	182	-3
16800	1800	180	-2
16800	2800	180	-2
16800	3800	180	-2
16800	4800	182	-1
17800	800	188	-3
17800	1800	186	-2
17800	2800	185	-2
17800	3800	186	-2
17800	4800	188	-1
18800	800	196	-4
18800	1800	194	-2
18800	2800	193	-2
18800	3800	194	-1
18800	4800	196	0
19800	800	209	-5
19800	1800	206	-3
19800	2800	205	-2
19800	3800	206	-1
19800	4800	209	2
18800	800	196	-7
18800	1800	194	-4
18800	2800	193	-2
18800	3800	194	0
18800	4800	196	3
19800	800	209	-5
19800	1800	207	-3
19800	2800	206	-2
19800	3800	207	0
19800	4800	209	2
20800	800	224	-4
20800	1800	221	-3
20800	2800	221	-2
20800	3800	222	-1
20800	4800	225	1
21800	800	242	-4
21800	1800	239	-2
21800	2800	238	-2
21800	3800	240	-1
21800	4800	243	0
22800	800	264	-4
22800	1800	261	-2
22800	2800	260	-2
22800	3800	261	-1
22800	4800	265	1
23800	800	291	-5
23800	1800	288	-3
23800	2800	287	-2
23800	3800	288	-1
23800	4800	292	1
24199	800	304	-5
800	4800	36	-1
800	5800	40	2
800	6800	42	4
800	7800	41	6
800	8800	37	9
1800	4800	66	1
1800	5800	70	3
1800	6800	71	4
1800	7800	70	5
1800	8800	67	7
2800	4800	90	2
2800	5800	93	4
2800	6800	95	4
2800	7800	94	5
2800	8800	91	7
3800	4800	109	2
3800	5800	112	4
3800	6800	113	5
3800	7800	112	5
3800	8800	110	6
4800	4800	124	2
4800	5800	127	4
4800	6800	128	5
4800	7800	127	5
4800	8800	125	6
5800	4800	137	2
5800	5800	139	4
5800	6800	140	5
5800	7800	139	5
5800	8800	137	7
6800	4800	147	1
6800	5800	149	3
6800	6800	149	4
6800	7800	149	6
6800	8800	147	8
7800	4800	156	-1
7800	5800	158	2
7800	6800	158	4
7800	7800	158	6
7800	8800	156	9
6800	4800	147	-1
6800	5800	149	2
6800	6800	150	5
6800	7800	149	7
6800	8800	148	10
7800	4800	156	1
7800	5800	158	3
7800	6800	158	5
7800	7800	158	6
7800	8800	157	8
8800	4800	162	2
8800	5800	163	4
8800	6800	164	5
8800	7800	163	5
8800	8800	162	7
9800	4800	165	3
9800	5800	166	4
9800	6800	166	5
9800	7800	166	5
9800	8800	165	6
10800	4800	166	3
10800	5800	167	4
10800	6800	167	4
10800	7800	167	5
10800	8800	167	6
11800	4800	167	2
11800	5800	168	4
11800	6800	168	4
11800	7800	168	5
11800	8800	168	6
12800	4800	169	1
12800	5800	169	3
12800	6800	169	4
12800	7800	169	5
12800	8800	169	7
13800	4800	172	-1
13800	5800	172	2
13800	6800	172	4
13800	7800	172	6
13800	8800	172	8
12800	4800	169	-2
12800	5800	169	2
12800	6800	169	4
12800	7800	169	6
12800	8800	169	9
13800	4800	173	0
13800	5800	172	3
13800	6800	172	4
13800	7800	172	5
13800	8800	173	7
14800	4800	175	2
14800	5800	175	3
14800	6800	174	4
14800	7800	175	4
14800	8800	175	6
15800	4800	178	2
15800	5800	177	4
15800	6800	177	4
15800	7800	177	4
15800	8800	178	5
16800	4800	182	3
16800	5800	180	4
16800	6800	180	4
16800	7800	180	4
16800	8800	182	5
17800	4800	188	2
17800	5800	186	4
17800	6800	185	4
17800	7800	186	4
17800	8800	187	5
18800	4800	196	1
18800	5800	194	3
18800	6800	193	4
